id_org_competence,org_competence_1,objective_1,topic_count,sub_topic_count,topic_subtopic_count,top5_topsub
36,product portfolio strategy management,ability prioritize structured digital initiatives ensure alignment digital businesses corporate strategies ensure synergy product portfolios time able understand user consumer expectations risks achieving digital business goals ability manage digital product portfolios test potential synergy including product bundling different product portfolios ability define performance measurement systems set targets monitor performance entire digital product portfolio ability compile product roadmap,"{'Business': 22, 'Development': 2, 'Design': 1}","{'Management': 9, 'Strategy': 6, 'Operations': 3, 'Finance': 2, 'Software Engineering': 1, 'Entrepreneurship': 1, 'User Experience': 1, 'Project Management': 1, 'Web Development': 1}","{'Business, Management': 9, 'Business, Strategy': 6, 'Business, Operations': 3, 'Business, Finance': 2, 'Development, Software Engineering': 1, 'Business, Project Management': 1, 'Development, Web Development': 1, 'Design, User Experience': 1, 'Business, Entrepreneurship': 1}","['business management', 'business strategy', 'business operations', 'business finance', 'development software engineering']"
37,performance management,ability manage improve overall employee performance appraisal process build high performance organization provide guidance supervisors managing consequences associated employee performance,"{'Business': 21, 'Finance & Accounting': 2, 'IT & Software': 1, 'Teaching & Academics': 1}","{'Management': 10, 'Human Resources': 8, 'Financial Modeling & Analysis': 2, 'Operations': 1, 'Online Education': 1, 'Strategy': 1, 'Other': 1, 'Finance': 1}","{'Business, Management': 10, 'Business, Human Resources': 8, 'Finance & Accounting, Financial Modeling & Analysis': 2, 'IT & Software, Other': 1, 'Teaching & Academics, Online Education': 1, 'Business, Finance': 1, 'Business, Operations': 1, 'Business, Strategy': 1}","['business management', 'business human resources', 'finance accounting financial modeling analysis', 'it software other', 'teaching academics online education']"
38,lean agile,understand principles frameworks methodologies techniques tools lean agile able apply process product design development digital digital,"{'Business': 19, 'Development': 4, 'IT & Software': 2}","{'Project Management': 15, 'Software Engineering': 4, 'Other': 2, 'Management': 2, 'Data & Analytics': 1, 'Strategy': 1}","{'Business, Project Management': 15, 'Development, Software Engineering': 4, 'IT & Software, Other': 2, 'Business, Management': 2, 'Business, Data & Analytics': 1, 'Business, Strategy': 1}","['business project management', 'development software engineering', 'it software other', 'business management', 'business data analytics']"
39,network build construction inspection,ability carry provide recommendations methods techniques implementing network construction supervision includes aspects identification evaluation supervision control work processes network construction telecommunications equipment facilities accordance network system specifications intended telecommunications networks include transport networks service nodes ip broadband nodes core networks metro networks fixed access networks mobile access networks cpe nte energy supply facilities,"{'IT & Software': 16, 'Development': 5, 'Business': 2, 'Marketing': 1, 'Office Productivity': 1}","{'Network & Security': 12, 'Other': 3, 'Web Development': 2, 'Data Science': 2, 'Project Management': 2, 'IT Certification': 1, 'Development Tools': 1, 'Microsoft': 1, 'Search Engine Optimization': 1}","{'IT & Software, Network & Security': 12, 'IT & Software, Other': 3, 'Development, Data Science': 2, 'Development, Web Development': 2, 'Business, Project Management': 2, 'Office Productivity, Microsoft': 1, 'Marketing, Search Engine Optimization': 1, 'IT & Software, IT Certification': 1, 'Development, Development Tools': 1}","['it software network security', 'it software other', 'development data science', 'development web development', 'business project management']"
40,content strategy planning,ability develop strategies top level planning creating creating managing content digital channels,"{'Marketing': 20, 'Personal Development': 2, 'Business': 2, 'Design': 1}","{'Content Marketing': 14, 'Digital Marketing': 3, 'Marketing Fundamentals': 2, 'Communications': 1, 'Web Design': 1, 'Strategy': 1, 'Productivity': 1, 'Influence': 1, 'Social Media Marketing': 1}","{'Marketing, Content Marketing': 14, 'Marketing, Digital Marketing': 3, 'Marketing, Marketing Fundamentals': 2, 'Personal Development, Productivity': 1, 'Personal Development, Influence': 1, 'Design, Web Design': 1, 'Marketing, Social Media Marketing': 1, 'Business, Communications': 1, 'Business, Strategy': 1}","['marketing content marketing', 'marketing digital marketing', 'marketing marketing fundamentals', 'personal development productivity', 'personal development influence']"
41,budgeting financial planning,ability define financial direction expectations next years digital portfolios ability document plan carried month month detailing costs making financial predictions using historical data ability determine guidelines pricing compare number pricing model options analyze provide recommendations optimal pricing model company digital products ability determine cost digital products,"{'Business': 18, 'Finance & Accounting': 4, 'Personal Development': 3}","{'Finance': 19, 'Personal Finance': 3, 'Financial Modeling & Analysis': 1, 'Entrepreneurship': 1, 'Management': 1}","{'Business, Finance': 16, 'Personal Development, Personal Finance': 3, 'Finance & Accounting, Finance': 3, 'Business, Management': 1, 'Business, Entrepreneurship': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1}","['business finance', 'personal development personal finance', 'finance accounting finance', 'business management', 'business entrepreneurship']"
42,brand management,ability plan activate maintain evaluate brand products services increase competitive advantage,"{'Marketing': 15, 'Business': 5, 'Personal Development': 2, 'Design': 2}","{'Branding': 14, 'Entrepreneurship': 2, 'Management': 2, 'Personal Brand Building': 2, 'Home Business': 1, 'Marketing Fundamentals': 1, 'Graphic Design': 1, 'Fashion': 1}","{'Marketing, Branding': 14, 'Business, Management': 2, 'Business, Entrepreneurship': 2, 'Personal Development, Personal Brand Building': 2, 'Design, Fashion': 1, 'Design, Graphic Design': 1, 'Business, Home Business': 1, 'Marketing, Marketing Fundamentals': 1}","['marketing branding', 'business management', 'business entrepreneurship', 'personal development personal brand building', 'design fashion']"
43,partnership management governance,ability create strong governance cooperation model determine measurement performance achievement targets party involved ability proactively manage commercial cooperation ensure resolution technical contractual issues resolved quick precise time ability provide governance strong agreement cooperation determine size performance appraisal example sla ola party involved agreement,"{'Business': 22, 'Finance & Accounting': 1, 'IT & Software': 1, 'Office Productivity': 1}","{'Management': 12, 'Project Management': 4, 'Operations': 2, 'Entrepreneurship': 1, 'Communications': 1, 'Strategy': 1, 'IT Certification': 1, 'Sales': 1, 'Microsoft': 1, 'Finance': 1}","{'Business, Management': 12, 'Business, Project Management': 4, 'Business, Operations': 2, 'Office Productivity, Microsoft': 1, 'IT & Software, IT Certification': 1, 'Finance & Accounting, Finance': 1, 'Business, Entrepreneurship': 1, 'Business, Sales': 1, 'Business, Communications': 1, 'Business, Strategy': 1}","['business management', 'business project management', 'business operations', 'office productivity microsoft', 'it software it certification']"
44,product solution design,ability translate needs companies especially development product digital solution solution design general high level ability determine stages product development evaluation criteria final stage product launch ability document platforms systems products services processes used interact affected ability work stakeholders determine functional technical needs,"{'Business': 19, 'Development': 3, 'Marketing': 1, 'Design': 1, 'Teaching & Academics': 1}","{'Management': 11, 'Entrepreneurship': 4, 'Software Engineering': 2, 'Home Business': 1, 'Operations': 1, 'Online Education': 1, 'Strategy': 1, 'Other': 1, 'Marketing Fundamentals': 1, 'Finance': 1, 'Web Development': 1}","{'Business, Management': 11, 'Business, Entrepreneurship': 4, 'Development, Software Engineering': 2, 'Teaching & Academics, Online Education': 1, 'Business, Finance': 1, 'Development, Web Development': 1, 'Marketing, Marketing Fundamentals': 1, 'Design, Other': 1, 'Business, Home Business': 1, 'Business, Operations': 1, 'Business, Strategy': 1}","['business management', 'business entrepreneurship', 'development software engineering', 'teaching academics online education', 'business finance']"
45,user research,ability design plan carry research user user technology product research done asking user certain tasks observe situation preferences success users using product tested results compared initial hypothesis research intended identify features functions capabilities product desired user may currently provided product designed defined ability design plan carry usability testing users user test hypothesis design features work flow product,"{'Design': 21, 'Development': 1, 'IT & Software': 1, 'Marketing': 1, 'Teaching & Academics': 1}","{'User Experience': 20, 'Other': 1, 'Other Teaching & Academics': 1, 'Design Thinking': 1, 'Software Engineering': 1, 'Marketing Fundamentals': 1}","{'Design, User Experience': 20, 'Design, Design Thinking': 1, 'Development, Software Engineering': 1, 'IT & Software, Other': 1, 'Teaching & Academics, Other Teaching & Academics': 1, 'Marketing, Marketing Fundamentals': 1}","['design user experience', 'design design thinking', 'development software engineering', 'it software other', 'teaching academics other teaching academics']"
46,product service audit,understanding various types types product service offered company fulfillment process customers manually digitally based ability analyze product service quality product life cycle product life cycle position product service market well competition conditions ability evaluate cost products tariffing pricing discounts products services delivered ability measure analyze speed fulfillment time delivery service level guarantee complaint handling evaluating productivity contribution product service provided overall achievement company performance,"{'Business': 18, 'IT & Software': 2, 'Marketing': 2, 'Development': 1, 'Office Productivity': 1, 'Teaching & Academics': 1}","{'Management': 9, 'Operations': 5, 'Strategy': 2, 'IT Certification': 2, 'SAP': 1, 'Branding': 1, 'Online Education': 1, 'Web Development': 1, 'Entrepreneurship': 1, 'Affiliate Marketing': 1, 'Project Management': 1}","{'Business, Management': 9, 'Business, Operations': 5, 'IT & Software, IT Certification': 2, 'Business, Strategy': 2, 'Marketing, Affiliate Marketing': 1, 'Marketing, Branding': 1, 'Business, Project Management': 1, 'Office Productivity, SAP': 1, 'Teaching & Academics, Online Education': 1, 'Development, Web Development': 1, 'Business, Entrepreneurship': 1}","['business management', 'business operations', 'it software it certification', 'business strategy', 'marketing affiliate marketing']"
47,data engineering,ability create database architecture designs set rules standards models monitor determine data types retrieved data used stored managed integrated including big data ability include implement security procedures encryption rules databases ability clean transform data write code use analytical statistical tools,"{'Development': 13, 'IT & Software': 5, 'Business': 4, 'Teaching & Academics': 3}","{'Data Science': 8, 'Other': 4, 'Data & Analytics': 4, 'Engineering': 3, 'Programming Languages': 2, 'Software Engineering': 1, 'Databases': 1, 'Development Tools': 1, 'IT Certification': 1}","{'Development, Data Science': 8, 'IT & Software, Other': 4, 'Business, Data & Analytics': 4, 'Teaching & Academics, Engineering': 3, 'Development, Programming Languages': 2, 'Development, Software Engineering': 1, 'Development, Databases': 1, 'IT & Software, IT Certification': 1, 'Development, Development Tools': 1}","['development data science', 'it software other', 'business data analytics', 'teaching academics engineering', 'development programming languages']"
48,emerging tech application,understanding trends technologies developing globally domestically indonesia ability analyze extent companies company products follow global domestic trends ability implement trends technologies business issues form business cases use cases operational work plan competencies specific accordance preferences owner competency developing technological trends iot vr uc digital payment financial technologies digital advertising cloud others,"{'Development': 9, 'IT & Software': 7, 'Business': 5, 'Office Productivity': 2, 'Teaching & Academics': 2}","{'Network & Security': 5, 'Web Development': 3, 'Other': 2, 'Mobile Apps': 2, 'SAP': 1, 'Operations': 1, 'Data & Analytics': 1, 'Game Development': 1, 'IT Certification': 1, 'Databases': 1, 'Programming Languages': 1, 'Finance': 1, 'Social Science': 1, 'Microsoft': 1, 'Math': 1, 'E-Commerce': 1, 'Human Resources': 1}","{'IT & Software, Network & Security': 5, 'Development, Web Development': 3, 'Development, Mobile Apps': 2, 'Development, Databases': 1, 'Business, Data & Analytics': 1, 'Office Productivity, Microsoft': 1, 'Business, Finance': 1, 'Development, Game Development': 1, 'IT & Software, IT Certification': 1, 'Development, E-Commerce': 1, 'Business, Human Resources': 1, 'Business, Other': 1, 'Development, Programming Languages': 1, 'Business, Operations': 1, 'Office Productivity, SAP': 1, 'Teaching & Academics, Math': 1, 'IT & Software, Other': 1, 'Teaching & Academics, Social Science': 1}","['it software network security', 'development web development', 'development mobile apps', 'development databases', 'business data analytics']"
49,customer experience,ability develop plans design capacity capabilities etc arrange procedures manage customer services product digital solution including managing content customer interaction engagement customer engagement ensure best possible customer experience using digital products solutions,"{'Business': 20, 'Marketing': 4, 'Personal Development': 1}","{'Management': 6, 'Communications': 5, 'Sales': 3, 'Operations': 2, 'Strategy': 2, 'Data & Analytics': 2, 'Marketing Fundamentals': 2, 'Branding': 1, 'Digital Marketing': 1, 'Career Development': 1}","{'Business, Management': 6, 'Business, Communications': 5, 'Business, Sales': 3, 'Business, Operations': 2, 'Business, Data & Analytics': 2, 'Marketing, Marketing Fundamentals': 2, 'Business, Strategy': 2, 'Marketing, Branding': 1, 'Marketing, Digital Marketing': 1, 'Personal Development, Career Development': 1}","['business management', 'business communications', 'business sales', 'business operations', 'business data analytics']"
50,strategy management,ability use internal external data analysis use tools techniques formulate strategies formulate strategic directions going forward ability identify challenges risks direction new strategies make recommendations overcome ability formulate vision mission strategic objectives ability translate css directional portfolio parenting strategy formulate strategic initiatives based new strategic objective,"{'Business': 17, 'Personal Development': 6, 'Finance & Accounting': 1, 'IT & Software': 1}","{'Management': 7, 'Strategy': 6, 'Productivity': 3, 'Leadership': 2, 'Operations': 1, 'Entrepreneurship': 1, 'Communications': 1, 'Career Development': 1, 'Finance': 1, 'Investing & Trading': 1, 'IT Certification': 1}","{'Business, Management': 7, 'Business, Strategy': 6, 'Personal Development, Productivity': 3, 'Personal Development, Leadership': 2, 'Personal Development, Career Development': 1, 'Business, Finance': 1, 'Finance & Accounting, Investing & Trading': 1, 'Business, Communications': 1, 'Business, Entrepreneurship': 1, 'IT & Software, IT Certification': 1, 'Business, Operations': 1}","['business management', 'business strategy', 'personal development productivity', 'personal development leadership', 'personal development career development']"
51,merger acquisition,able carry process mergers acquisitions local international markets encompasses process creating criteria target company candidates including profiles candidates terms business strategy competition prediction company value identifying value transactions choice transaction structure conduct due diligence financial operational human resources legal matters conduct business valuations candidate companies determine company final value,"{'Business': 15, 'Finance & Accounting': 5, 'Marketing': 5}","{'Finance': 10, 'Entrepreneurship': 3, 'Digital Marketing': 2, 'Real Estate': 2, 'Human Resources': 2, 'Content Marketing': 1, 'Strategy': 1, 'Management': 1, 'Marketing Fundamentals': 1, 'Compliance': 1, 'Product Marketing': 1}","{'Business, Finance': 6, 'Finance & Accounting, Finance': 4, 'Business, Entrepreneurship': 3, 'Business, Human Resources': 2, 'Business, Real Estate': 2, 'Marketing, Digital Marketing': 2, 'Business, Management': 1, 'Marketing, Content Marketing': 1, 'Marketing, Marketing Fundamentals': 1, 'Marketing, Product Marketing': 1, 'Finance & Accounting, Compliance': 1, 'Business, Strategy': 1}","['business finance', 'finance accounting finance', 'business entrepreneurship', 'business human resources', 'business real estate']"
52,product solution design,ability translate needs companies especially development product digital solution high level solution design ability determine stages product manufacturing evaluation criteria final stage namely product launch ability document platforms systems products services processes used interact affected ability work stakeholders determine functional technical needs,"{'Business': 18, 'Development': 3, 'Design': 2, 'Marketing': 1, 'Teaching & Academics': 1}","{'Management': 10, 'Entrepreneurship': 5, 'Software Engineering': 2, 'Other': 2, 'Operations': 1, 'Online Education': 1, 'Strategy': 1, 'Marketing Fundamentals': 1, 'Finance': 1, 'Web Development': 1}","{'Business, Management': 10, 'Business, Entrepreneurship': 5, 'Development, Software Engineering': 2, 'Design, Other': 2, 'Teaching & Academics, Online Education': 1, 'Business, Finance': 1, 'Development, Web Development': 1, 'Marketing, Marketing Fundamentals': 1, 'Business, Operations': 1, 'Business, Strategy': 1}","['business management', 'business entrepreneurship', 'development software engineering', 'design other', 'teaching academics online education']"
53,business portfolio synergy,ability analyze business performance regularly understand root causes performance target make plans improvement ability manage synergies cfu companies within telkom group ability use company performance information input preparation strategies next period,"{'Business': 15, 'Marketing': 4, 'Design': 3, 'Finance & Accounting': 2, 'Development': 1}","{'Finance': 6, 'Strategy': 3, 'Project Management': 3, 'Entrepreneurship': 2, 'User Experience': 2, 'Financial Modeling & Analysis': 1, 'Web Development': 1, 'Growth Hacking': 1, 'Branding': 1, '3D & Animation': 1, 'Industry': 1, 'Public Relations': 1, 'Data & Analytics': 1, 'Search Engine Optimization': 1}","{'Business, Finance': 5, 'Business, Project Management': 3, 'Business, Strategy': 3, 'Business, Entrepreneurship': 2, 'Design, User Experience': 2, 'Design, 3D & Animation': 1, 'Development, Web Development': 1, 'Finance & Accounting, Finance': 1, 'Marketing, Search Engine Optimization': 1, 'Marketing, Branding': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1, 'Marketing, Public Relations': 1, 'Business, Industry': 1, 'Business, Data & Analytics': 1, 'Marketing, Growth Hacking': 1}","['business finance', 'business project management', 'business strategy', 'business entrepreneurship', 'design user experience']"
54,portfolio management,ability use tools techniques formulate future direction portfolio strategy terms portfolio planning portfolio evaluation encompasses product portfolios times consumer portfolios consumer segmentation directions parenting strategy line css determined,"{'Business': 16, 'Finance & Accounting': 5, 'IT & Software': 2, 'Design': 1, 'Teaching & Academics': 1}","{'Finance': 9, 'Project Management': 7, 'Management': 2, 'IT Certification': 2, 'Financial Modeling & Analysis': 1, 'User Experience': 1, 'Investing & Trading': 1, 'Test Prep': 1, 'Finance Cert & Exam Prep': 1}","{'Business, Finance': 7, 'Business, Project Management': 7, 'Business, Management': 2, 'IT & Software, IT Certification': 2, 'Finance & Accounting, Finance': 2, 'Teaching & Academics, Test Prep': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1, 'Design, User Experience': 1, 'Finance & Accounting, Investing & Trading': 1, 'Finance & Accounting, Finance Cert & Exam Prep': 1}","['business finance', 'business project management', 'business management', 'it software it certification', 'finance accounting finance']"
55,digital business,understanding trends technologies developing globally domestically indonesia ability analyze extent companies company products follow global domestic trends ability implement trends technologies business issues form business cases use cases operational work plan competency specific according owner competency preferences towards developing technological trends iot vr uc digital payment financial technologies digital advertising cloud etc ability prioritize encouraging enablement encouragement use innovative designs innovative mindsets innovative methodologies within company company able build adopt digital product service customer experience good business models knowledge technology ogi trends stable established emerging emerging core business market core company closest business adjacent especially digital business ability innovate business model product service,"{'Business': 15, 'Marketing': 10}","{'Digital Marketing': 8, 'Home Business': 4, 'Entrepreneurship': 3, 'Management': 3, 'Strategy': 2, 'Content Marketing': 1, 'Communications': 1, 'Growth Hacking': 1, 'Data & Analytics': 1, 'Human Resources': 1}","{'Marketing, Digital Marketing': 8, 'Business, Home Business': 4, 'Business, Management': 3, 'Business, Entrepreneurship': 3, 'Business, Strategy': 2, 'Business, Human Resources': 1, 'Marketing, Content Marketing': 1, 'Marketing, Growth Hacking': 1, 'Business, Data & Analytics': 1, 'Business, Communications': 1}","['marketing digital marketing', 'business home business', 'business management', 'business entrepreneurship', 'business strategy']"
56,designer,ability use customer user experience journey based design approach conduct analysis research determine user target product solution define user expectations build criteria requirements needs product quirements product create expected user experience journey,"{'Design': 22, 'Development': 1, 'IT & Software': 1, 'Office Productivity': 1}","{'Graphic Design': 10, 'Design Tools': 7, 'User Experience': 2, 'Web Design': 2, 'Hardware': 1, 'Development Tools': 1, 'Other': 1, 'Microsoft': 1}","{'Design, Graphic Design': 10, 'Design, Design Tools': 7, 'Design, Web Design': 2, 'Design, User Experience': 2, 'IT & Software, Hardware': 1, 'Office Productivity, Microsoft': 1, 'Design, Other': 1, 'Development, Development Tools': 1}","['design graphic design', 'design design tools', 'design web design', 'design user experience', 'it software hardware']"
57,developer,ability create application software able provide solutions added value users get software suits customers needs,"{'Development': 18, 'IT & Software': 4, 'Office Productivity': 2, 'Personal Development': 1}","{'Web Development': 15, 'IT Certification': 4, 'Oracle': 2, 'E-Commerce': 1, 'Mobile Apps': 1, 'Career Development': 1, 'Programming Languages': 1}","{'Development, Web Development': 15, 'IT & Software, IT Certification': 4, 'Office Productivity, Oracle': 2, 'Development, E-Commerce': 1, 'Development, Mobile Apps': 1, 'Personal Development, Career Development': 1, 'Development, Programming Languages': 1}","['development web development', 'it software it certification', 'office productivity oracle', 'development e commerce', 'development mobile apps']"
58,data scientist artificial intelligent,ability build use models statistics analytics business acumen ability communicate results analysis business units digital business leaders influence decision making results well,"{'Development': 16, 'Business': 5, 'IT & Software': 3, 'Marketing': 1}","{'Data Science': 15, 'Data & Analytics': 3, 'Other': 2, 'IT Certification': 2, 'Databases': 1, 'Digital Marketing': 1, 'Management': 1}","{'Development, Data Science': 15, 'Business, Data & Analytics': 3, 'IT & Software, IT Certification': 2, 'Business, Other': 1, 'Business, Management': 1, 'Development, Databases': 1, 'Marketing, Digital Marketing': 1, 'IT & Software, Other': 1}","['development data science', 'business data analytics', 'it software it certification', 'business other', 'business management']"
59,business effectiveness,ability design modeling effective business needs,{'Business': 25},"{'Entrepreneurship': 11, 'Strategy': 6, 'Data & Analytics': 4, 'Project Management': 3, 'Other': 1}","{'Business, Entrepreneurship': 11, 'Business, Strategy': 6, 'Business, Data & Analytics': 4, 'Business, Project Management': 3, 'Business, Other': 1}","['business entrepreneurship', 'business strategy', 'business data analytics', 'business project management', 'business other']"
60,product owner,ability manage product includes responsibilities building maintaining improving product managed coordinate entire ecosystem product managed becomes product acceptable customer user,"{'IT & Software': 11, 'Business': 9, 'Development': 3, 'Marketing': 1, 'Teaching & Academics': 1}","{'IT Certification': 8, 'Project Management': 4, 'Management': 3, 'Other': 3, 'Software Engineering': 2, 'Video & Mobile Marketing': 1, 'Strategy': 1, 'Development Tools': 1, 'Test Prep': 1, 'Data & Analytics': 1}","{'IT & Software, IT Certification': 8, 'Business, Project Management': 4, 'Business, Management': 3, 'IT & Software, Other': 3, 'Development, Software Engineering': 2, 'Teaching & Academics, Test Prep': 1, 'Development, Development Tools': 1, 'Business, Data & Analytics': 1, 'Marketing, Video & Mobile Marketing': 1, 'Business, Strategy': 1}","['it software it certification', 'business project management', 'business management', 'it software other', 'development software engineering']"
61,customer experience,ability develop plans designs capacities capabilities etc arrange procedures manage customer services digital product solution including managing content interaction customer engagement guarantee best customer experience using digital products solutions,"{'Business': 19, 'Marketing': 5, 'Personal Development': 1}","{'Management': 6, 'Communications': 5, 'Sales': 3, 'Branding': 2, 'Strategy': 2, 'Data & Analytics': 2, 'Marketing Fundamentals': 2, 'Operations': 1, 'Digital Marketing': 1, 'Career Development': 1}","{'Business, Management': 6, 'Business, Communications': 5, 'Business, Sales': 3, 'Marketing, Branding': 2, 'Business, Data & Analytics': 2, 'Marketing, Marketing Fundamentals': 2, 'Business, Strategy': 2, 'Marketing, Digital Marketing': 1, 'Personal Development, Career Development': 1, 'Business, Operations': 1}","['business management', 'business communications', 'business sales', 'marketing branding', 'business data analytics']"
62,strategic planning,ability use internal external data analysis use tools techniques formulate strategies formulate strategic directions going forward ability identify challenges risks direction new strategy make recommendations overcome ability formulate vision mission strategic objectives ability translate css directional portfolio parenting strategy formulate strategic initiatives based new strategic objectives,"{'Business': 24, 'Personal Development': 1}","{'Strategy': 14, 'Management': 4, 'Project Management': 2, 'Entrepreneurship': 1, 'Operations': 1, 'Data & Analytics': 1, 'Personal Transformation': 1, 'Human Resources': 1}","{'Business, Strategy': 14, 'Business, Management': 4, 'Business, Project Management': 2, 'Business, Human Resources': 1, 'Personal Development, Personal Transformation': 1, 'Business, Entrepreneurship': 1, 'Business, Data & Analytics': 1, 'Business, Operations': 1}","['business strategy', 'business management', 'business project management', 'business human resources', 'personal development personal transformation']"
63,strategic investment,ability carry implement corporate investment strategies lead increase performance company san value,"{'Business': 22, 'Finance & Accounting': 2, 'Personal Development': 1}","{'Finance': 13, 'Strategy': 6, 'Management': 2, 'Entrepreneurship': 1, 'Operations': 1, 'Investing & Trading': 1, 'Personal Finance': 1}","{'Business, Finance': 12, 'Business, Strategy': 6, 'Business, Management': 2, 'Personal Development, Personal Finance': 1, 'Business, Entrepreneurship': 1, 'Finance & Accounting, Investing & Trading': 1, 'Finance & Accounting, Finance': 1, 'Business, Operations': 1}","['business finance', 'business strategy', 'business management', 'personal development personal finance', 'business entrepreneurship']"
64,portfolio management,ability use tools techniques formulate future direction portfolio strategy terms portfolio planning portfolio evaluation encompasses product portfolio times consumer portfolio consumer segmentation directions parenting strategy line css aligned css set,"{'Business': 16, 'Finance & Accounting': 5, 'IT & Software': 2, 'Design': 1, 'Teaching & Academics': 1}","{'Finance': 9, 'Project Management': 7, 'Management': 2, 'IT Certification': 2, 'Financial Modeling & Analysis': 1, 'User Experience': 1, 'Investing & Trading': 1, 'Test Prep': 1, 'Finance Cert & Exam Prep': 1}","{'Business, Finance': 7, 'Business, Project Management': 7, 'Business, Management': 2, 'IT & Software, IT Certification': 2, 'Finance & Accounting, Finance': 2, 'Teaching & Academics, Test Prep': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1, 'Design, User Experience': 1, 'Finance & Accounting, Investing & Trading': 1, 'Finance & Accounting, Finance Cert & Exam Prep': 1}","['business finance', 'business project management', 'business management', 'it software it certification', 'finance accounting finance']"
65,performance management,ability make standard measurements company business unit performance results well measuring company performance based existing theories guidelines,"{'Business': 18, 'IT & Software': 3, 'Finance & Accounting': 2, 'Personal Development': 1, 'Teaching & Academics': 1}","{'Management': 7, 'Human Resources': 5, 'IT Certification': 3, 'Financial Modeling & Analysis': 2, 'Operations': 2, 'Strategy': 2, 'Online Education': 1, 'Productivity': 1, 'Finance': 1, 'Project Management': 1}","{'Business, Management': 7, 'Business, Human Resources': 5, 'IT & Software, IT Certification': 3, 'Finance & Accounting, Financial Modeling & Analysis': 2, 'Business, Operations': 2, 'Business, Strategy': 2, 'Personal Development, Productivity': 1, 'Business, Project Management': 1, 'Business, Finance': 1, 'Teaching & Academics, Online Education': 1}","['business management', 'business human resources', 'it software it certification', 'finance accounting financial modeling analysis', 'business operations']"
66,synergy management,ability make direction synergy cfu companies within scope telkom group creating strong governance ensure operational efficiency effectiveness synergy includes internal cfu synergy cfu synergy industry bumn companies relevant business,{'Business': 25},"{'Operations': 7, 'Project Management': 7, 'Management': 5, 'Strategy': 2, 'Human Resources': 2, 'Other': 1, 'Finance': 1}","{'Business, Project Management': 7, 'Business, Operations': 7, 'Business, Management': 5, 'Business, Human Resources': 2, 'Business, Strategy': 2, 'Business, Other': 1, 'Business, Finance': 1}","['business project management', 'business operations', 'business management', 'business human resources', 'business strategy']"
